DIA,HORARIO,LOCAL,GRUPO,Mandante,PLACAR,Visitante,GOLS_MANDANTE,GOLS_VISITANTE,ID,SIMULADOR
2024-03-02,10h40min,Idalina,B,Direito PUC,03X03,FEA PUC,03,03,93bc68e5-8c18-4783-ade5-a0da8f86b5f4,False
2024-03-03,10h40 min,Idalina,A,FEI,03X04,ESPM,03,04,8ae824aa-55fd-49bd-a1b5-b9aee259c438,False
2024-03-03,13h50min,Palestra,A,Engenharia São Judas,01X02,FECAP,01,02,816be36c-ea64-43f4-9963-2af0f777c06c,False
2024-03-03,17h20min,Idalina,B,EEFE USP,08X03,Getúlio Vargas,08,03,0119da60-8a73-4518-9d14-257def50bdba,False
2024-03-10,16 h,Idalina,B,INSPER,01X01,FEA São Judas,01,01,a0876322-7036-4807-9cfb-d854590e55a7,False
2024-03-16,09h50 min,Palestra,A,Federal do ABC,X,FECAP,,,6b30e57b-cc13-461a-9639-d594aeac78bf,True
2024-03-17,10h40 min,Idalina,A,ESPM,X,Engenharia São Judas,,,f40cb0ff-44ba-4001-a5cf-7b0441bc5fb1,True
2024-03-17,12h,Idalina,A,FEA USP,X,FEI,,,fb8c6188-81ed-41fe-8070-3d34c8a1fee4,True
2024-03-17,20h20min,SEMEF,B,INSPER,X,EEFE USP,,,0cd8d891-e70f-43f7-8168-d99ce5d0f57e,True
2024-03-23,20h20 min,SEMEF,B,Direito PUC,X,FEA São Judas,,,4f24baae-4b59-43a9-9968-7f76005cfe7d,True
2024-03-24,08h30 min,Palestra,A,Federal do ABC,X,FEA USP,,,07a2438b-419b-40da-a795-deff3ff8430f,True
2024-03-24,20h20min,SEMEF,B,FEA PUC,X,Getúlio Vargas,,,b341e59e-e867-47fd-b779-4196d23113e2,True
,,,A,ESPM,X,Federal do ABC,,,8d77a141-e0be-48ba-9e84-dfeb83c572f6,True
,,,A,FEA USP,X,FECAP,,,1ee54c7b-df36-4a0c-a9df-bbe688f24c14,True
,,,A,FEI,X,Engenharia São Judas,,,56b7f475-0006-4def-b86c-012799be2d0c,True
,,,A,FEI,X,Federal do ABC,,,7de0dd66-a948-4fa9-b93a-a129fab6580b,True
,,,A,Engenharia São Judas,X,FEA USP,,,a8edbb68-c85a-4fc5-8f81-2ab151da2ef4,True
,,,A,FECAP,X,ESPM,,,1dfd0d7b-4fcd-41c6-800a-3bd6f91d62b7,True
,,,A,Federal do ABC,X,Engenharia São Judas,,,b456d2d4-e783-473e-b73d-a44ec36375d7,True
,,,A,FECAP,X,FEI,,,5d30e369-e99e-42df-8ae8-67f8ddf5f7c7,True
,,,A,ESPM,X,FEA USP,,,c5691bc5-110b-4a2b-80a9-6947caafe62f,True
,,,B,Direito PUC,X,INSPER,,,1f8572d3-8999-4177-bfb1-3eb91ab2abdb,True
,,,B,FEA PUC,X,EEFE USP,,,7579bb03-20f0-454e-9c1f-89391f31c1d7,True
,,,B,Getúlio Vargas,X,FEA São Judas,,,772117ec-d297-4e3b-add6-4137b64f8561,True
,,,B,INSPER,X,FEA PUC,,,36450345-56d3-4b77-b890-0ec04ab61a40,True
,,,B,Getúlio Vargas,X,Direito PUC,,,b983bd31-ebe2-4c9d-875f-aacbf45c851a,True
,,,B,FEA São Judas,X,EEFE USP,,,2927aa68-2723-4941-82b0-bfa156dd8df2,True
,,,B,Getúlio Vargas,X,INSPER,,,60cb6a79-8356-4bbe-8f40-a0fa4f75756a,True
,,,B,FEA São Judas,X,FEA PUC,,,b9a2a008-0918-4c60-874d-42321876fd16,True
,,,B,EEFE USP,X,Direito PUC,,,323c9bb1-b9c1-42ed-8210-a8a05a9c7fbc,True
